assay_run_id,run_date,analyte,matrix,instrument_id,sample_type,level,replicate,nominal_conc_ng_ml,back_calc_conc_ng_ml,peak_area_ratio,dilution_factor,bias_pct,within_acceptance
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,CAL,CAL1,1,0.5000,0.4832,0.1057,1,-3.35,
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,CAL,CAL2,1,1.0000,0.9790,0.1462,1,-2.10,
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,CAL,CAL3,1,2.5000,2.3822,0.2393,1,-4.71,
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,CAL,CAL4,1,10.0000,10.0898,0.3423,1,0.90,
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,CAL,CAL5,1,25.0000,26.4321,0.4097,1,5.73,
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,CAL,CAL6,1,100.0000,100.8893,0.5261,1,0.89,
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,CAL,CAL7,1,250.0000,257.3221,0.5985,1,2.93,
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,CAL,CAL8,1,500.0000,520.7326,0.6318,1,4.15,
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,LLOQ,1,0.5000,0.5324,0.1052,1,6.48,Y
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,LLOQ,2,0.5000,0.4726,0.1011,1,-5.47,Y
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,LLOQ,3,0.5000,0.4652,0.0944,1,-6.96,Y
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,LQC,1,2.5000,2.3986,0.2184,1,-4.05,Y
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,LQC,2,2.5000,2.7273,0.2482,1,9.09,Y
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,LQC,3,2.5000,2.4041,0.2612,1,-3.83,Y
RUN-20260520-001,2026-05-20,CompoundX,Human plasma,LCMS-01,QC,MQC,1,25.0000,25.4068,0.4244,1,1.63,Y
